Unnamed: 0.1,Unnamed: 0,Query,Link,Status
263,263,sas,https://www.trustpilot.com/review/www.sas.dk,Collected
264,264,sas,https://www.trustpilot.com/review/www.sas.se,Collected
265,265,sas,https://www.trustpilot.com/review/www.sas.no,Collected
266,266,sas,https://www.trustpilot.com/review/www.flysas.com,Collected
267,267,scoot,https://www.trustpilot.com/review/flyscoot.com,Collected
268,268,scoot,https://www.trustpilot.com/review/www.scoot.co.uk,Collected
269,269,silver airways,https://www.trustpilot.com/review/www.silverairways.com,Collected
270,270,singapore airlines,https://www.trustpilot.com/review/singaporeairlines.com,Collected
271,271,singapore airlines,https://www.trustpilot.com/review/www.singaporeair.com,Collected
272,272,sky express,https://www.trustpilot.com/review/skyexpress.gr,Collected
273,273,skyjet airlines,https://www.trustpilot.com/review/www.flyskyjetair.com,Collected
274,274,smartwings,https://www.trustpilot.com/review/www.smartwings.com,Collected
275,275,smartwings,https://www.trustpilot.com/review/smartwingshome.com,Collected
276,276,smartwings,https://www.trustpilot.com/review/smartwings.ae,Collected
277,277,south african airways,https://www.trustpilot.com/review/flysaa.com,Collected
278,278,southwest airlines,https://www.trustpilot.com/review/www.southwest.com,Collected
279,279,southwest airlines,https://www.trustpilot.com/review/rapidrewards.com,Collected
280,280,spicejet,https://www.trustpilot.com/review/www.spicejet.com,Collected
281,281,spirit airlines,https://www.trustpilot.com/review/www.spirit.com,Collected
282,282,spring airlines,https://www.trustpilot.com/review/en.ch.com,Collected
283,283,sun country airlines,https://www.trustpilot.com/review/suncountry.com,Collected
284,284,sundair,https://www.trustpilot.com/review/sundair.com,Collected
285,285,sunexpress,https://www.trustpilot.com/review/www.sunexpress.com,Collected
286,286,swiss international air lines,https://www.trustpilot.com/review/www.swiss.com,Collected
287,287,swiss international air lines,https://www.trustpilot.com/review/www.swissair.com,Collected
288,288,swoop,https://www.trustpilot.com/review/www.flyswoop.com,Collected
289,289,swoop,https://www.trustpilot.com/review/swoopfunding.com,Collected
290,290,swoop,https://www.trustpilot.com/review/swoop-antarctica.com,Collected
291,291,swoop,https://www.trustpilot.com/review/www.swoop-patagonia.com,Collected
292,292,swoop,https://www.trustpilot.com/review/swoopapp.com,Collected
293,293,swoop,https://www.trustpilot.com/review/www.swoop.eu,Collected
294,294,tag,https://www.trustpilot.com/review/tag.pet,Collected
295,295,tap air portugal,https://www.trustpilot.com/review/flights.flytap.com,Collected
296,296,tap air portugal,https://www.trustpilot.com/review/book.flytap.com,Collected
297,297,tarom,https://www.trustpilot.com/review/tarom.ro,Collected
298,298,thai lion air,https://www.trustpilot.com/review/lionairthai.com,Collected
299,299,thomas cook airlines,https://www.trustpilot.com/review/www.thomascookairlines.com,Collected
300,300,thomas cook airlines,https://www.trustpilot.com/review/flythomascook.com,Collected
301,301,tigerair australia,https://www.trustpilot.com/review/tigerair.com.au,Collected
302,302,tradewind aviation,https://www.trustpilot.com/review/www.flytradewind.com,Collected
303,303,transavia,https://www.trustpilot.com/review/www.transavia.com,Collected
304,304,transavia,https://www.trustpilot.com/review/transavia.nl,Collected
305,305,tunisair,https://www.trustpilot.com/review/tunisair.com,Collected
306,306,turkish airlines,https://www.trustpilot.com/review/www.turkishairlines.com,Collected
307,307,turkish airlines,https://www.trustpilot.com/review/www4.thy.com,Collected
308,308,turkish airlines,https://www.trustpilot.com/review/p.turkishairlines.com,Collected
309,309,united airlines,https://www.trustpilot.com/review/unitedairlines.com,Collected
310,310,united airlines,https://www.trustpilot.com/review/united-airlines.com,Collected
311,311,united airlines,https://www.trustpilot.com/review/fly.united.com,Collected
312,312,ural airlines,https://www.trustpilot.com/review/uralairlines.ru,Collected
313,313,uzbekistan airways,https://www.trustpilot.com/review/uzairways.com,Collected
314,314,vasco,https://www.trustpilot.com/review/vasco.nl,Collected
315,315,vietjetair,https://www.trustpilot.com/review/www.vietjetair.com,Collected
316,316,vietnam airlines,https://www.trustpilot.com/review/vietnamairlines.com,Collected
317,317,virgin australia,https://www.trustpilot.com/review/www.virginaustralia.com,Collected
318,318,vistara,https://www.trustpilot.com/review/airvistara.com,Collected
319,319,volaris,https://www.trustpilot.com/review/volaris.com,Collected
320,320,volotea,https://www.trustpilot.com/review/volotea.com,Collected
321,321,volotea,https://www.trustpilot.com/review/volotea.it,Collected
322,322,volotea,https://www.trustpilot.com/review/www.volotea.fr,Collected
323,323,volotea,https://www.trustpilot.com/review/www.volotea.es,Collected
324,324,vueling airlines,https://www.trustpilot.com/review/m.vueling.com,Collected
325,325,westjet,https://www.trustpilot.com/review/www.westjet.com,Collected
326,326,westjet,https://www.trustpilot.com/review/westjet.ca,Collected
327,327,wideroe,https://www.trustpilot.com/review/www.wideroe.no,Collected
331,331,wizz air,https://www.trustpilot.com/review/wizzair.uk,Collected
332,332,wizz air,https://www.trustpilot.com/review/wizzair.pl,Collected
333,333,wizz air,https://www.trustpilot.com/review/wizzair.co.uk,Collected
334,334,wow air,https://www.trustpilot.com/review/wowair.is,Collected
335,335,wow air,https://www.trustpilot.com/review/wowair.com,Collected
336,336,wow air,https://www.trustpilot.com/review/wowair.dk,Collected
337,337,xiamen airlines,https://www.trustpilot.com/review/xiamenair.com,Collected
338,338,yeti airlines,https://www.trustpilot.com/review/www.yetiairlines.com,Collected
